site,age,q,mean,lower,upper
K,4.944723618090452,0.1,458.79535759422794,352.25571070094696,599.6818311147206
K,4.974874371859296,0.1,465.17453310366915,355.9230108487266,612.3439824010788
K,5.005025125628141,0.1,471.55463485125637,359.41427313574343,624.9532573068436
K,5.035175879396984,0.1,477.9340939758826,362.7352294634354,635.3131002837295
K,5.065326633165829,0.1,484.31272776346145,366.12714390874055,646.6202355571542
K,5.0954773869346734,0.1,490.69056200577563,369.6297136868663,659.3234403633708
K,5.125628140703517,0.1,497.0676224946072,373.13042402892563,671.7808133179805
K,5.155778894472362,0.1,503.4439350217401,376.5118735876653,683.4227367606779
K,5.185929648241205,0.1,509.81952537895586,379.8130264373991,693.9369454597414
K,5.21608040201005,0.1,516.1944193580379,383.1141792871332,705.1356805609616
K,5.2462311557788945,0.1,522.5686427507688,386.41533213686716,717.8474030869585
K,5.276381909547738,0.1,528.9422213489308,389.776472293841,730.5591256129546
K,5.306532663316583,0.1,535.3151809443082,393.4937109440819,743.2256699369378
K,5.3366834170854265,0.1,541.687547328682,397.2148855336538,754.8861492022446
K,5.366834170854271,0.1,548.0593462938352,400.9398249347596,766.7463026911134
K,5.396984924623116,0.1,554.4306036315517,404.60200907051495,779.3378661904579
K,5.427135678391959,0.1,560.8013451336129,408.09845733999754,791.4208764539692
K,5.457286432160804,0.1,567.1715965918024,411.6005750336239,801.7582948609415
K,5.487437185929648,0.1,573.5413837979024,415.10442997413105,813.0418155859893
K,5.517587939698492,0.1,579.9107325436962,418.5473842877508,824.7857010519455
K,5.547738693467337,0.1,586.2796686209664,421.99042860047905,837.3693980926342
K,5.57788944723618,0.1,592.6482178214949,425.43355728737106,849.8479156930546
K,5.608040201005025,0.1,599.0164059370655,428.87676472348363,859.9862069307194
K,5.638190954773869,0.1,605.3842587594603,432.33817368968147,871.2828103348855
K,5.668341708542713,0.1,611.7518020804623,436.045911187237,882.9391916264582
